,Hospital,Hotels,Ratings,KM Range,Room Count,Price USD,Price INR,Links
31,St.Philomena'S Hospital,Hotel Windsor Castle Inn,3,0.7,57,25,1800,windsorcastleinn.com
32,St.Philomena'S Hospital,Treebo Trend Stylotel By Jagdish - Hotel In Brigade Road,3,1.0,10,28,2000,treebo.com
33,Microcare ENT Hospital & Research Institute,Novotel Hyderabad Convention Ctr,5,9.3,288,32.80-196.83,2400-14400,https://www.guestreservations.com/novotel-hyderabad-convention-ctr/booking?gclid=eaiaiqobchmiwtexsoza7wivcyurch1l_ayheaayasaaegirp_d_bwe
34,Microcare ENT Hospital & Research Institute,Zibe Hyderabad By GRT Hotels,3,1.4,55,30.07-47.84,2200-3500,https://grthotels.com/grtzibe/
35,Microcare ENT Hospital & Research Institute,Novotel Hyderabad Convention Ctr,5,9.3,288,32.80-196.83,2400-14400,https://www.guestreservations.com/novotel-hyderabad-convention-ctr/booking?gclid=eaiaiqobchmiwtexsoza7wivcyurch1l_ayheaayasaaegirp_d_bwe
36,Microcare ENT Hospital & Research Institute,Zibe Hyderabad By GRT Hotels,3,1.4,55,30.07-47.84,2200-3500,https://grthotels.com/grtzibe/
37,Rungta Hospital,Radisson Hotel,5,2.7,182,- Not Available -,- Not Available -,https://www.radissonhotels.com/en-us/
38,"Dharamshila Hospital And Research Centre, Delhi",OYO 10667 Prakash Guest House,2,1.0,35,24,1800,oyorooms.com
39,"Dharamshila Hospital And Research Centre, Delhi",Hotel Noida Darbar A Banquet Hotel,2,1.0,43,33,2500,https://noidadarbar.business.site/?utm_source=gmb&utm_medium=referral
40,"Care Hospitals, Vishakhapatnam","Fortune Inn Sree Kanya, Visakhapatnam",4,2.0,93,53,4000,http://fortunehotels.in/hotel/visakhapatnam-fortune_inn_sree_kanya.aspx
41,"Care Hospitals, Vishakhapatnam",Hotel Supreme,3,2.0,67,40,3000,http://hotelsupremevizag.com/
42,"Rockland Hospital, Qutab",THE TAJ MAHAL,5,10.0,274,225,- Not Available -,http://tajhotels.com
43,"Rockland Hospital, Qutab",LE MERIDIEN NEW DELHI,5,12.0,358,106,8000,http://lemeridien.com
44,"Rockland Hospital, Manesar",Heritage Village Manesar,4,0.7,160,79,6000,http://selecthotels.co.in/manesar.php
45,"Rockland Hospital, Manesar",Hyatt Regency Gurgaon,4,5.0,200,66,5000,http://gurgaon.regency.hyatt.com/
46,"Rockland Hospital, Dwarka",Radisson Blu Hotel New Delhi Dwarka,5,1.0,220,86,6500,http://radissonblu.com/hotel-newdelhidwarka
47,"Max Super Speciality Hospitals, Patparganj",LE MERIDIEN NEW DELHI,5,12.0,360,106,8000,http://lemeridien.com
48,"Max Super Speciality Hospitals, Patparganj",THE ROYAL PLAZA,4,10.0,420,80,6000,http://hoteltheroyalplaza.com
49,"Max Super Speciality Hospitals, Delhi",THE ROYAL PLAZA,4,5.0,418,106,8000,http://hoteltheroyalplaza.com
50,"Max Super Speciality Hospitals, Delhi",HOTEL ASIAN INTERNATIONAL,3,4.0,38,53,4000,http://hotelasian.com
