,Hospital,Hotels,Ratings,KM Range,Room Count,Price USD,Price INR,Links
0,Rungta Hospital,Radisson Hotel,5,2.7,182,- Not Available -,- Not Available -,https://www.radissonhotels.com/en-us/
1,"Dharamshila Hospital And Research Centre, Delhi",OYO 10667 Prakash Guest House,2,1.0,35,24,1800,oyorooms.com
2,"Dharamshila Hospital And Research Centre, Delhi",Hotel Noida Darbar A Banquet Hotel,2,1.0,43,33,2500,https://noidadarbar.business.site/?utm_source=gmb&utm_medium=referral
3,"Care Hospitals, Vishakhapatnam","Fortune Inn Sree Kanya, Visakhapatnam",4,2.0,93,53,4000,http://fortunehotels.in/hotel/visakhapatnam-fortune_inn_sree_kanya.aspx
4,"Care Hospitals, Vishakhapatnam",Hotel Supreme,3,2.0,67,40,3000,http://hotelsupremevizag.com/
5,"Max Super Speciality Hospitals, Patparganj",LE MERIDIEN NEW DELHI,5,12.0,360,106,8000,http://lemeridien.com
6,"Max Super Speciality Hospitals, Patparganj",THE ROYAL PLAZA,4,10.0,420,80,6000,http://hoteltheroyalplaza.com
7,"Max Super Speciality Hospitals, Delhi","The Suryaa, New Delhi",5,9.0,244,66,5000,http://thesuryaa.com/accommodation.html
8,"Max Super Speciality Hospitals, Delhi",Emblem - A Boutique Hotel-New Delhi,4,9.0,20,33,2500,http://emblemhotels.in/about-hotel.html
9,"Zydus Hospital, Anand",Neejanand Luxurious Resort & Spa,4,8.0,100,66,5000,http://neejanand.com/
10,"Zydus Hospital, Anand",Hotel Rama Residency,2,3.0,30,20,1500,http://hotelramaresidency.com/
11,"Vijaya Group Of Hospitals, Chennai",Hilton Chennai,4,5.0,204,113,8500,http://www3.hilton.com/en/hotels/india/hilton-chennai-maahihi/index.html
12,Vijaya Group Of Hospitals, Chennai,Sheraton Park Hotel And Towers,5,6.0,287,106,8000,http://itchotels.in/hotels/sheratonpark.aspx
13,Valiyath Institute Of Medical Sciences, Kollam,Hotel Comfort Regency,2,1.0,35,20,1500,http://hotelcomfortregency.com/
14,Valiyath Institute Of Medical Sciences, Kollam,Hotel Grande Muscat,2,1.0,43,20,1500,http://grandemuscat.com/
15,"The Madras Medical Mission, Chennai",Hotel Chennai Deluxe,2,4.0,42,33,2500,http://hotelchennaideluxe.com/aboutus.htm
16,"The Madras Medical Mission, Chennai",Hotel Radha Regent Chennai,4,5.0,91,46,3500,http://radhahotels.com/radha-regent-chennai/
17,"Sri Ramachandra Medical Centre, Chennai",Le Royal Meridien Chennai,5,9.0,106,100,7500,http://leroyalmeridien-chennai.com
18,"Sri Ramachandra Medical Centre, Chennai",My Fortune,5,18.0,90,79,6000,http://fortunehotels.in
19,PREM SUKH HOSPITAL AND DIALYSIS CENTRE,North Star Residency,2,0.7,20,13,900,northstarresidency.in
20,PREM SUKH HOSPITAL AND DIALYSIS CENTRE,Lakshmi Guest House,2,0.4,30,9,650,lakshmiguesthouse.com
21,APEX HOSPITAL,Hotel Randhawa International,3,1.0,60,33,2500,hotelrandhawainternational.com
22,APEX HOSPITAL,OYO 15652 Hotel 51,2,1.2,28,13,1000,oyorooms
23,Institute Of Reproduction And Child Cares,Hometel Chandigarh,3,3.0,164,45,3600,sarovarhotels.com
24,Institute Of Reproduction And Child Cares,Hotel Solitaire,3,2.0,24,37,2700,hotelsolitaire.com
25,Institute Of Reproduction And Child Cares,Hometel Chandigarh,3,3.0,164,45,32,sarovarhotels.com
26,Institute Of Reproduction And Child Cares,Hotel Solitaire,3,2.0,24,37,2700,hotelsolitaire.com
27,APEX HOSPITAL,Hotel Randhawa International,3,1.0,60,33,2500,hotelrandhawainternational.com
28,APEX HOSPITAL,OYO 15652 Hotel 51,2,1.2,28,13,1000,oyorooms
29,Kailash Hospitals & Healthcare,OYO 3158 Kusum Villa,2,0.2,26,21,1500,oyorooms.com
30,Kailash Hospitals & Healthcare,Capital O 4029 Cosy Tree Rooms,2,0.6,31,21,1500,oyorooms.com
